Question,Answer
What is Python?,Python is a high-level programming language.
What is AI?,Artificial Intelligence is the simulation of human intelligence.
What is Machine Learning?,Machine Learning is a subset of AI that learns from data.
What is NLP?,Natural Language Processing allows computers to understand human language.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
How do I install Python?,Download Python from python.org and install it.
What is TensorFlow?,TensorFlow is a machine learning framework.
What is Pandas?,Pandas is a Python library used for data analysis.
What is NumPy?,NumPy is used for numerical computing.
What is Scikit-learn?,Scikit-learn is a machine learning library.
